Datetime,id,IsSelected,Gender,College,StudentProgram,GraduationYear,NHackathon,Role,HasTeam,TeamMembers,TeamId,University,TeamSize
09/08/2016 19:55:46,46,S,F,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Não,"46, 56, 309, 483",54,,4
09/08/2016 20:24:09,309,S,M,IME,Bacharelado em Ciência da Computação,1,0,Nenhuma,Não,"46, 56, 309, 483",54,,4
09/08/2016 22:57:08,56,S,M,IME,Bacharelado em Ciência da Computação,1,0,Desenvolvedor,Sim,"46, 56, 309, 483",54,,4
18/08/2016 22:49:37,47,S,F,Não USP,,,0,Desenvolvedor,Não,,0,Fatec,1
19/08/2016 21:47:33,35,S,M,Não USP,,,0,Desenvolvedor,Não,,0,Uninove,1
23/08/2016 09:44:28,483,S,M,IME,Matemática Aplicada,1,0,Desenvolvedor,Sim,"46, 56, 309, 483",54,,4
24/07/2016 20:53:04,227,S,M,IME,Bacharelado em Ciência da Computação,2,2,Desenvolvedor,Sim,"227, 303, 339, 402",31,,4
24/07/2016 21:01:17,342,S,M,IME,Bacharelado em Ciência da Computação,2,5,Desenvolvedor,Sim,"332, 342, 511, 513",47,,4
24/07/2016 21:01:24,438,S,M,Poli,Engenharia da Computação,5,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:01:25,513,S,M,IME,Bacharelado em Ciência da Computação,3,1,Desenvolvedor,Sim,"332, 342, 511, 513",47,,4
24/07/2016 21:01:33,197,S,M,Poli,Engenharia Elétrica,2,0,Desenvolvedor,Sim,"112, 197,341, 364",7,,4
24/07/2016 21:01:55,93,S,M,Poli,Engenharia da Computação,5,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:01:57,206,S,M,Não USP,,,1,Desenvolvedor,Não,,0,Fatec,1
24/07/2016 21:02:00,333,S,M,Não USP,,,0,Desenvolvedor,Não,,0,Fatec,1
24/07/2016 21:02:07,92,S,F,Não USP,,,0,Empreendedor/Negócios,Não,,0,Uniban,1
24/07/2016 21:02:17,341,S,M,Poli,Engenharia Elétrica,2,2,Desenvolvedor,Sim,"112, 197,341, 364",7,,4
24/07/2016 21:02:41,511,S,M,IME,Bacharelado em Ciência da Computação,2,2,Desenvolvedor,Não,"332, 342, 511, 513",47,,4
24/07/2016 21:02:44,232,S,M,EACH,Bacharelado em Sistemas de Informação,4,0,Desenvolvedor,Sim,"171, 183, 230, 232",22,,4
24/07/2016 21:02:47,329,S,M,Não USP,,,2,Desenvolvedor,Não,,0,Universidade de Brasilia,1
24/07/2016 21:02:48,77,S,M,Não USP,,,0,Desenvolvedor,Não,,0,IFPI,1
24/07/2016 21:02:53,507,S,F,FAU,Bacharelado em Design,5,1,Desenvolvedor,Sim,"159, 507",18,,2
24/07/2016 21:03:00,40,S,M,Poli,Engenharia Elétrica,1,0,Desenvolvedor,Não,,0,,1
24/07/2016 21:03:06,3,S,M,Poli,Engenharia da Computação,5,1,Desenvolvedor,Sim,"1, 156, 269, 459",1,,4
24/07/2016 21:03:11,51,S,M,IME,Bacharelado em Ciência da Computação,1,1,Desenvolvedor,Sim,"51, 241, 519",56,,3
24/07/2016 21:03:16,416,S,M,Não USP,,,1,Desenvolvedor,Não,,0,Fatec,1
24/07/2016 21:03:18,250,S,F,Poli,Engenharia Elétrica,1,0,Desenvolvedor,Sim,"18, 250, 313, 340",23,,4
24/07/2016 21:03:19,402,S,M,IME,Bacharelado em Ciência da Computação,2,1,Desenvolvedor,Sim,"227, 303, 339, 402",31,,4
24/07/2016 21:03:25,269,S,M,Poli,Engenharia da Computação,5,2,Desenvolvedor,Sim,"1, 156, 269, 459",1,,4
24/07/2016 21:03:29,159,S,M,IME,Bacharelado em Ciência da Computação,5,1,Desenvolvedor,Sim,"159, 507",18,,2
24/07/2016 21:03:35,369,S,F,Poli,Engenharia Civil,1,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:03:45,324,S,M,FEA,Ciências Contábeis,2,0,Empreendedor/Negócios,Não,,0,,1
24/07/2016 21:03:47,170,S,M,Poli,Engenharia da Computação,3,1,Desenvolvedor,Não,"170, 238, 384, 391",21,,4
