Edição;Carimbo de data/hora;ID;Gênero;Qual a sua escola / faculdade / instituto?;Qual o seu curso / programa de pós?;Em que ano você está?;Você já participou de quantos hackathons?;Quais as suas especialidades?;Você já tem equipe formada?;Time;Selecionado
2018.2;18/10/2018 20:01:49;1;M;Escola de Engenharia de São Carlos (EESC);Pós Graduação em Engenharia de Produção;Mestrado;2;Cientista de Dados;Não;0;1
2018.2;18/10/2018 20:01:49;2;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Ciência da Computação;4° ano;2;Cientista de Dados;Sim;5;1
2018.2;18/10/2018 20:01:49;3;M;Escola de Engenharia de São Carlos (EESC);Bacharelado em Ciência da Computação;3° ano;0;Desenvolvedor;Não;0;1
2018.2;18/10/2018 20:01:49;4;F;Escola Politécnica (Poli);Bacharelado em Astronomia;4° ano;0;Desenvolvedor;Não;0;1
2018.2;18/10/2018 20:01:49;5;M;Escola Politécnica (Poli);Engenharia da Computação;4° ano;0;Desenvolvedor;Sim;11;1
2018.2;18/10/2018 20:01:49;6;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Engenharia de Produção;2° ano;0;Desenvolvedor;Sim;26;1
2018.2;18/10/2018 20:01:49;7;M;Instituto de Ciências Matemáticas e de Computação (ICMC);Curso de Ciências Moleculares;2° ano;0;Desenvolvedor, Negócios;Sim;22;1
2018.2;18/10/2018 20:01:49;8;M;Instituto de Matemática e Estatística (IME);Engenharia Mecânica;3° ano;0;Desenvolvedor, Designer;Sim;15;1
2018.2;18/10/2018 20:01:49;9;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;2° ano;0;Desenvolvedor;Não;0;1
2018.2;18/10/2018 20:02:01;10;F;Instituto de Ciências Matemáticas e de Computação (ICMC);Bacharelado em Sistemas de Informação;1° ano;2;Desenvolvedor, Designer;Sim;1;1
2018.2;18/10/2018 20:02:07;11;M;Escola de Artes, Ciências e Humanidades (EACH);Bacharelado em Sistemas de Informação;1° ano;0;Desenvolvedor, Negócios;Não;0;1
2018.2;18/10/2018 20:02:11;12;M;Escola Politécnica (Poli);Engenharia Elétrica;5° ano ou mais;2;Desenvolvedor, Negócios;Sim;2;1
2018.2;18/10/2018 20:02:11;13;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;1° ano;1;Desenvolvedor;Sim;3;1
2018.2;18/10/2018 20:02:15;14;M;Escola Politécnica (Poli);Engenharia Elétrica;3° ano;0;Cientista de Dados;Não;0;1
2018.2;18/10/2018 20:02:23;15;M;Instituto de Matemática e Estatística (IME);Bacharelado em Ciência da Computação;3° ano;2;Cientista de Dados;Sim;5;1
